round,slice,client_id,is_mal,metric,value
0,head,0,False,score_cos_all,0.7578706592321396
0,head,0,False,score_unit_mse,0.0005897825467400253
0,head,0,False,score_nmse,0.007940734671786263
0,head,0,False,V_all,0.14255832135677338
0,head,1,False,score_cos_all,0.24314028024673462
0,head,1,False,score_unit_mse,0.0001892142026918009
0,head,1,False,score_nmse,0.00030107656228575783
0,head,1,False,V_all,0.06466544419527054
0,head,2,False,score_cos_all,0.08146661520004272
0,head,2,False,score_unit_mse,6.339819810818881e-05
0,head,2,False,score_nmse,0.0001482863984082566
0,head,2,False,V_all,0.29198989272117615
0,head,3,False,score_cos_all,0.25227785110473633
0,head,3,False,score_unit_mse,0.00019632501062005758
0,head,3,False,score_nmse,0.0001885591156858133
0,head,3,False,V_all,0.2526715397834778
0,head,4,False,score_cos_all,0.7380129992961884
0,head,4,False,score_unit_mse,0.0005743291694670916
0,head,4,False,score_nmse,0.0008527108451136855
0,head,4,False,V_all,0.1729886382818222
0,head,5,False,score_cos_all,0.31332165002822876
0,head,5,False,score_unit_mse,0.0002438299561617896
0,head,5,False,score_nmse,0.00021094170770928397
0,head,5,False,V_all,0.12706048786640167
0,head,6,False,score_cos_all,0.7603268474340439
0,head,6,False,score_unit_mse,0.0005916939699091017
0,head,6,False,score_nmse,0.0006370915690404927
0,head,6,False,V_all,0.2151099592447281
0,head,7,True,score_cos_all,0.3235964775085449
0,head,7,True,score_unit_mse,0.00025182601530104876
0,head,7,True,score_nmse,0.0006295731999929565
0,head,7,True,V_all,0.08338917791843414
0,head,8,True,score_cos_all,0.3568150997161865
0,head,8,True,score_unit_mse,0.00027767696883529425
0,head,8,True,score_nmse,0.00024036120241076154
0,head,8,True,V_all,0.13886837661266327
0,head,9,True,score_cos_all,0.09226959943771362
0,head,9,True,score_unit_mse,7.180517422966659e-05
0,head,9,True,score_nmse,0.0002314982068430416
0,head,9,True,V_all,1.3267780542373657
0,last_block,0,False,score_cos_all,0.37027454376220703
0,last_block,0,False,score_unit_mse,3.403261871426366e-05
0,last_block,0,False,score_nmse,2.9661173851254484e-05
0,last_block,0,False,V_all,7.58586202209699e-06
0,last_block,1,False,score_cos_all,0.27616679668426514
0,last_block,1,False,score_unit_mse,2.5382983949384652e-05
0,last_block,1,False,score_nmse,2.2328523001594103e-05
0,last_block,1,False,V_all,1.0189140994043555e-05
0,last_block,2,False,score_cos_all,0.2572849988937378
0,last_block,2,False,score_unit_mse,2.3647529815207236e-05
0,last_block,2,False,score_nmse,2.525603317166443e-05
0,last_block,2,False,V_all,2.4957133064162917e-05
0,last_block,3,False,score_cos_all,0.3243764042854309
0,last_block,3,False,score_unit_mse,2.9814029403496534e-05
0,last_block,3,False,score_nmse,2.514774146502234e-05
0,last_block,3,False,V_all,8.263801646535285e-06
0,last_block,4,False,score_cos_all,0.4973521828651428
0,last_block,4,False,score_unit_mse,4.571253521135077e-05
0,last_block,4,False,score_nmse,3.5972939849794785e-05
0,last_block,4,False,V_all,1.3427069461613428e-05
0,last_block,5,False,score_cos_all,0.34249067306518555
0,last_block,5,False,score_unit_mse,3.147895404254086e-05
0,last_block,5,False,score_nmse,2.6133909977646233e-05
0,last_block,5,False,V_all,1.1880161764565855e-05
0,last_block,6,False,score_cos_all,0.48236727714538574
0,last_block,6,False,score_unit_mse,4.433525100466795e-05
0,last_block,6,False,score_nmse,3.371507579097564e-05
0,last_block,6,False,V_all,1.9330553186591715e-05
0,last_block,7,True,score_cos_all,0.37087661027908325
0,last_block,7,True,score_unit_mse,3.4087941457983106e-05
0,last_block,7,True,score_nmse,3.343255210431324e-05
0,last_block,7,True,V_all,6.198537448653951e-06
0,last_block,8,True,score_cos_all,0.4554901719093323
0,last_block,8,True,score_unit_mse,4.1864906961563975e-05
0,last_block,8,True,score_nmse,3.3636366635998973e-05
0,last_block,8,True,V_all,1.1784612070186995e-05
0,last_block,9,True,score_cos_all,0.31766289472579956
0,last_block,9,True,score_unit_mse,2.9196968171163462e-05
0,last_block,9,True,score_nmse,2.574801899359906e-05
0,last_block,9,True,V_all,1.6864963981788605e-05
1,head,0,False,score_cos_all,0.4620456099510193
1,head,0,False,score_unit_mse,0.00035956857027485967
1,head,0,False,score_nmse,0.00046640996706282857
1,head,0,False,V_all,0.022400958463549614
1,head,1,False,score_cos_all,0.7242318093776703
1,head,1,False,score_unit_mse,0.0005636045825667679
1,head,1,False,score_nmse,0.0006616331598124828
1,head,1,False,V_all,0.03630295768380165
1,head,2,False,score_cos_all,0.09164786338806152
1,head,2,False,score_unit_mse,7.132133760023862e-05
1,head,2,False,score_nmse,0.00020115496455257387
1,head,2,False,V_all,0.14117775857448578
1,head,3,False,score_cos_all,0.07435595989227295
1,head,3,False,score_unit_mse,5.786449764855206e-05
1,head,3,False,score_nmse,0.0002608722319166865
1,head,3,False,V_all,0.48128366470336914
1,head,4,False,score_cos_all,0.6776107549667358
1,head,4,False,score_unit_mse,0.0005273236311040819
1,head,4,False,score_nmse,0.0016563975707208503
1,head,4,False,V_all,0.026178408414125443
1,head,5,False,score_cos_all,0.8413665741682053
1,head,5,False,score_unit_mse,0.0006547600496560335
1,head,5,False,score_nmse,0.000916314309315828
1,head,5,False,V_all,0.0378492996096611
1,head,6,False,score_cos_all,0.6896191537380219
1,head,6,False,score_unit_mse,0.0005366686964407563
1,head,6,False,score_nmse,0.0005471670416021743
1,head,6,False,V_all,0.03867774084210396
1,head,7,True,score_cos_all,0.8852373510599136
1,head,7,True,score_unit_mse,0.0006889008218422532
1,head,7,True,score_nmse,0.002135132386197353
