round,slice,metric,benign,malicious,delta
0,head,I_mean,0.01194896425918809,0.013276172646631798,0.0013272083874437072
0,head,I_sparsity,0.9859922187668937,0.9702983101209005,-0.015693908645993182
0,head,norm_g,221.67368861607142,196.41685485839844,-25.25683375767298
0,head,norm_gI,22.43345969063895,37.08345985412598,14.650000163487025
0,head,shrink_ratio,0.10027569534537802,0.19830090667667352,0.0980252113312955
0,last_block,I_mean,0.0007204863234489624,0.0006525987506999323,-6.788757274903004e-05
0,last_block,I_sparsity,1.0,1.0,0.0
0,last_block,norm_g,119.7000754220145,101.98433430989583,-17.71574111211868
0,last_block,norm_gI,0.6844178863934108,0.6106044749418894,-0.07381341145152143
0,last_block,shrink_ratio,0.005782096632765964,0.006233490427988336,0.0004513937952223719
1,head,I_mean,0.012513985192137105,0.007479524550338586,-0.005034460641798519
1,head,I_sparsity,0.9847693187849862,0.9928664167722067,0.00809709798722047
1,head,norm_g,152.75811658586775,152.80360412597656,0.045487540108808844
1,head,norm_gI,14.656018393380302,7.955209414164226,-6.7008089792160765
1,head,shrink_ratio,0.08797896417926378,0.04928148034054297,-0.038697483838720806
1,last_block,I_mean,0.0009008370065462909,0.0006444160244427621,-0.00025642098210352875
1,last_block,I_sparsity,1.0,1.0,0.0
1,last_block,norm_g,86.89151545933315,92.62109629313152,5.729580833798366
1,last_block,norm_gI,0.3628678343125752,0.3514471153418223,-0.011420718970752863
1,last_block,shrink_ratio,0.0040919984204423115,0.003767078250173733,-0.00032492017026857856
2,head,I_mean,0.009920302811743957,0.0072116741600135965,-0.002708628651730361
2,head,I_sparsity,0.9934963924544198,0.9939040342966715,0.00040764184225172695
2,head,norm_g,110.89932359967914,137.12586975097656,26.226546151297427
2,head,norm_gI,5.279016324451992,5.343182881673177,0.06416655722118492
2,head,shrink_ratio,0.04868631630987531,0.03820166907578183,-0.01048464723409348
2,last_block,I_mean,0.0007625514616458011,0.0007897513957383732,2.7199934092572058e-05
2,last_block,I_sparsity,1.0,1.0,0.0
2,last_block,norm_g,70.65550558907645,97.08656819661458,26.431062607538124
2,last_block,norm_gI,0.2156203484960965,0.304975966612498,0.0893556181164015
2,last_block,shrink_ratio,0.0031745797164583977,0.003106202039337204,-6.837767712119386e-05
3,head,I_mean,0.010993638741118568,0.008332930660496155,-0.0026607080806224127
3,head,I_sparsity,0.9879933340208871,0.9901426831881205,0.0021493491672334164
3,head,norm_g,97.57331194196429,124.8623530069987,27.28904106503441
3,head,norm_gI,6.141997746058872,5.164187828699748,-0.9778099173591244
3,head,shrink_ratio,0.06379309089049887,0.042461086979423544,-0.02133200391107532
3,last_block,I_mean,0.0008637857640029065,0.0011008609629546602,0.00023707519895175373
3,last_block,I_sparsity,1.0,1.0,0.0
3,last_block,norm_g,66.62400763375419,90.64910888671875,24.02510125296456
3,last_block,norm_gI,0.24644610285758972,0.416464904944102,0.17001880208651227
3,last_block,shrink_ratio,0.003657118877552799,0.004702749722264689,0.00104563084471189
4,head,I_mean,0.013219673718724931,0.00582563675319155,-0.007394036965533381
4,head,I_sparsity,0.9864369119916644,0.9985732833544413,0.012136371362776899
4,head,norm_g,87.28666142054966,112.77197774251302,25.485316321963353
4,head,norm_gI,5.396191392626081,2.1273303429285684,-3.2688610496975126
4,head,shrink_ratio,0.06303047578232557,0.01879984570636822,-0.044230630075957345
4,last_block,I_mean,0.0011012554251854973,0.0006342636770568788,-0.00046699174812861845
4,last_block,I_sparsity,0.9999606098447528,1.0,3.9390155247231995e-05
4,last_block,norm_g,64.78761727469308,88.78534698486328,23.997729710170205
4,last_block,norm_gI,0.32140498608350754,0.21089979509512582,-0.11050519098838171
4,last_block,shrink_ratio,0.004930480456035434,0.002340567684230804,-0.0025899127718046304
5,head,I_mean,0.010969741203423058,0.0034630371568103633,-0.007506704046612694
5,head,I_sparsity,0.9913285204342434,0.9998703002929688,0.008541779858725396
5,head,norm_g,84.30846514020648,116.44056701660156,32.13210187639508
5,head,norm_gI,5.877288341522217,1.690803309281667,-4.18648503224055
5,head,shrink_ratio,0.06791755501144098,0.014557217008760037,-0.05336033800268094
5,last_block,I_mean,0.0009236532329980816,0.0004341016853383432,-0.0004895515476597385
5,last_block,I_sparsity,1.0,1.0,0.0
5,last_block,norm_g,63.95746994018555,93.4346923828125,29.477222442626953
5,last_block,norm_gI,0.2712131653513227,0.1597650001446406,-0.11144816520668213
5,last_block,shrink_ratio,0.004142732563829352,0.0017023418233837369,-0.002440390740445615
6,head,I_mean,0.011241357840065445,0.006009035278111696,-0.0052323225619537485
6,head,I_sparsity,0.987826577254704,0.9941634138425192,0.006336836587815142
6,head,norm_g,86.42503901890346,120.32580057779948,33.90076155889602
6,head,norm_gI,5.381717051778521,3.1979556878407798,-2.1837613639377413
6,head,shrink_ratio,0.06477037304104905,0.02682103096201287,-0.03794934207903618
6,last_block,I_mean,0.0008772202085570566,0.0007913239339056114,-8.589627465144516e-05
6,last_block,I_sparsity,1.0,1.0,0.0
6,last_block,norm_g,67.2428114754813,102.7872823079427,35.5444708324614
6,last_block,norm_gI,0.24392479551689966,0.473366046945254,0.22944125142835436
6,last_block,shrink_ratio,0.003757726858648794,0.004562651394744237,0.0008049245360954435
7,head,I_mean,0.01325923008179026,0.00574390667801102,-0.007515323403779241
7,head,I_sparsity,0.9857142908232552,0.9977950851122538,0.012080794288998553
7,head,norm_g,79.29702649797711,111.46634419759114,32.16931769961403
7,head,norm_gI,5.67582505089896,2.433105707168579,-3.242719343730381
7,head,shrink_ratio,0.07290919841679475,0.022006397390174393,-0.050902801026620356
