round,slice,metric,benign,malicious,delta
0,head,V_all,0.18100632620709284,0.516345202922821,0.3353388767157282
0,head,score_cos_all,0.4494881289345877,0.257560392220815,-0.19192773671377272
0,head,score_nmse,0.0014684858385756504,0.00036714420308225324,-0.001101341635493397
0,head,score_unit_mse,0.00034979615052829364,0.00020043605278866986,-0.0001493600977396238
0,last_block,V_all,1.3661960305658535e-05,1.1616037833543183e-05,-2.045922472115352e-06
0,last_block,score_cos_all,0.3643304109573364,0.3813432256380717,0.01701281468073529
0,last_block,score_nmse,2.8316485301136e-05,3.0938979244637094e-05,2.622493943501094e-06
0,last_block,score_unit_mse,3.348627173441595e-05,3.504993886357018e-05,1.5636671291542316e-06
1,head,V_all,0.11198154118444238,0.03794875741004944,-0.07403278377439294
1,head,score_cos_all,0.5086968179259982,0.5516199519236883,0.0429231339976901
1,head,score_nmse,0.0006728498921404891,0.0009762600363779124,0.00030341014423742327
1,head,score_unit_mse,0.00039587305218447,0.00042927631390436244,3.340326171989244e-05
1,last_block,V_all,5.7236460569194084e-06,4.621392236003885e-06,-1.1022538209155234e-06
1,last_block,score_cos_all,0.4773085245064327,0.5040107270081838,0.02670220250175115
1,last_block,score_nmse,4.510304170355111e-05,3.5332141963024865e-05,-9.770899740526247e-06
1,last_block,score_unit_mse,4.3870321990522954e-05,4.6324581489898264e-05,2.4542594993753102e-06
2,head,V_all,0.009759767479928476,0.014866885884354511,0.005107118404426035
2,head,score_cos_all,0.5056369474955967,0.5645952125390371,0.05895826504344037
2,head,score_nmse,0.0003290419382089036,0.00044815497234988104,0.00011911303414097744
2,head,score_unit_mse,0.0003934917497515146,0.0004393737278102587,4.588197805874408e-05
2,last_block,V_all,2.165762997005264e-06,3.830767582257977e-06,1.6650045852527129e-06
2,last_block,score_cos_all,0.6621512579066413,0.4393143653869629,-0.22283689251967842
2,last_block,score_nmse,4.872992433802995e-05,3.384938212379334e-05,-1.488054221423661e-05
2,last_block,score_unit_mse,6.0859589471614785e-05,4.037826511193998e-05,-2.0481324359674803e-05
3,head,V_all,0.018461677312318767,0.010410330103089413,-0.008051347209229355
3,head,score_cos_all,0.5760358284626689,0.6279205779234568,0.051884749460787916
3,head,score_nmse,0.00040809483419048786,0.00037729093819410765,-3.080389599638021e-05
