round,x_type,slice,metric,group,client,value
0,I,head,norm,benign,0,0.3123922348022461
0,I,head,cos_all,benign,0,0.5928556323051453
0,I,head,cos_loo,benign,0,0.5712839961051941
0,I,head,V_all,benign,1,0.0002075956726912409
0,I,head,V_loo,benign,1,0.0002562909503467381
0,I,head,norm,benign,1,0.5868974328041077
0,I,head,cos_all,benign,1,0.6567615866661072
0,I,head,cos_loo,benign,1,0.6200918555259705
0,I,head,V_all,benign,2,0.0010208190651610494
0,I,head,V_loo,benign,2,0.0012602705974131823
0,I,head,norm,benign,2,2.242466449737549
0,I,head,cos_all,benign,2,0.7703520655632019
0,I,head,cos_loo,benign,2,0.6451143622398376
0,I,head,V_all,benign,3,0.0005709799588657916
0,I,head,V_loo,benign,3,0.0007049135165289044
0,I,head,norm,benign,3,1.7032978534698486
0,I,head,cos_all,benign,3,0.7191899418830872
0,I,head,cos_loo,benign,3,0.615740954875946
0,I,head,V_all,benign,4,0.000342806801199913
0,I,head,V_loo,benign,4,0.00042321826913394034
0,I,head,norm,benign,4,1.0809574127197266
0,I,head,cos_all,benign,4,0.5846372842788696
0,I,head,cos_loo,benign,4,0.5035073757171631
0,I,head,V_all,benign,5,0.0003795706434175372
0,I,head,V_loo,benign,5,0.00046860569273121655
0,I,head,norm,benign,5,1.3651427030563354
0,I,head,cos_all,benign,5,0.6905515193939209
0,I,head,cos_loo,benign,5,0.604813814163208
0,I,head,V_all,benign,6,0.0010267500765621662
0,I,head,V_loo,benign,6,0.001267592771910131
0,I,head,norm,benign,6,1.8718512058258057
0,I,head,cos_all,benign,6,0.49725252389907837
0,I,head,cos_loo,benign,6,0.3302749693393707
0,I,head,V_all,malicious,7,0.00019400993187446147
0,I,head,V_loo,malicious,7,0.00023951844195835292
0,I,head,norm,malicious,7,0.4745364785194397
0,I,head,cos_all,malicious,7,0.7203172445297241
0,I,head,cos_loo,malicious,7,0.6953952312469482
0,I,head,V_all,malicious,8,0.0013026081724092364
0,I,head,V_loo,malicious,8,0.0016081583453342319
0,I,head,norm,malicious,8,2.246058940887451
0,I,head,cos_all,malicious,8,0.6060349941253662
0,I,head,cos_loo,malicious,8,0.4251691401004791
0,I,head,V_all,malicious,9,0.0014366662362590432
