epoch,filtered_ratio
0,0.0
1,0.0
2,0.6666666666666666
3,0.6666666666666666
4,0.6666666666666666
5,1.0
6,0.6666666666666666
7,0.6666666666666666
8,0.3333333333333333
9,0.6666666666666666
10,0.6666666666666666
11,1.0
12,0.6666666666666666
13,1.0
14,0.6666666666666666
15,0.6666666666666666
16,1.0
17,0.3333333333333333
18,1.0
19,0.6666666666666666
20,0.0
21,0.6666666666666666
22,1.0
23,1.0
24,0.6666666666666666
25,1.0
26,1.0
27,0.6666666666666666
28,0.6666666666666666
29,0.6666666666666666
30,0.6666666666666666
31,0.3333333333333333
32,0.3333333333333333
33,0.6666666666666666
34,0.3333333333333333
35,1.0
36,0.6666666666666666
37,0.3333333333333333
38,0.6666666666666666
39,0.6666666666666666
40,0.6666666666666666
41,0.3333333333333333
42,0.6666666666666666
43,0.6666666666666666
44,0.6666666666666666
45,0.3333333333333333
46,0.3333333333333333
47,0.3333333333333333
48,0.0
49,0.3333333333333333
50,0.3333333333333333
51,0.6666666666666666
52,0.6666666666666666
53,0.3333333333333333
54,1.0
55,0.6666666666666666
56,0.6666666666666666
57,0.6666666666666666
58,0.3333333333333333
59,0.0
60,0.6666666666666666
61,0.3333333333333333
62,0.6666666666666666
63,0.0
64,0.3333333333333333
65,0.3333333333333333
66,0.3333333333333333
67,0.3333333333333333
68,0.3333333333333333
69,0.6666666666666666
70,0.3333333333333333
71,0.6666666666666666
72,0.0
73,0.0
74,0.6666666666666666
75,0.3333333333333333
76,0.6666666666666666
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.6666666666666666
83,0.3333333333333333
84,0.3333333333333333
85,0.3333333333333333
86,0.6666666666666666
87,0.6666666666666666
88,0.0
89,0.3333333333333333
90,0.0
91,0.3333333333333333
92,0.3333333333333333
93,0.3333333333333333
94,0.0
95,0.0
96,0.0
97,0.0
98,0.3333333333333333
99,0.0
