epoch,filtered_ratio
0,0.0
1,0.6666666666666666
2,0.6666666666666666
3,1.0
4,1.0
5,1.0
6,0.6666666666666666
7,0.6666666666666666
8,0.6666666666666666
9,0.6666666666666666
10,0.6666666666666666
11,1.0
12,0.3333333333333333
13,0.3333333333333333
14,0.6666666666666666
15,0.3333333333333333
16,0.3333333333333333
17,0.6666666666666666
18,0.0
19,0.6666666666666666
20,1.0
21,0.6666666666666666
22,0.6666666666666666
23,0.3333333333333333
24,0.6666666666666666
25,0.3333333333333333
26,0.3333333333333333
27,0.0
28,0.0
29,0.3333333333333333
30,0.6666666666666666
31,0.3333333333333333
32,0.3333333333333333
33,0.3333333333333333
34,0.3333333333333333
35,0.0
36,0.3333333333333333
37,0.0
38,0.3333333333333333
39,0.0
40,0.3333333333333333
41,0.3333333333333333
42,0.0
43,0.3333333333333333
44,0.3333333333333333
45,0.0
46,0.3333333333333333
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.3333333333333333
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
